time,ax,ay,az,atotal
3.507,-0.08,-0.37,-1,1.07
3.517,-0.03,0.12,0.21,0.25
3.527,-0.02,0.1,1.51,1.51
3.537,-0.02,0.04,0.64,0.64
3.547,-0.01,-0.01,-0.71,0.71
3.557,-0.05,-0.05,-1.04,1.04
3.566,-0.03,0.04,0.09,0.11
3.576,-0.03,0.06,0.77,0.77
3.586,-0.03,0.05,0.45,0.45
3.596,-0.01,0,-0.45,0.45
3.607,-0.03,-0.01,-0.63,0.63
3.616,-0.05,0.1,-0.01,0.11
3.626,-0.02,0.06,0.49,0.49
3.636,-0.05,-0.01,0.24,0.24
3.646,-0.01,0.04,-0.3,0.31
3.656,0.08,0.09,-0.39,0.41
3.666,-0.09,-0.05,0.02,0.11
3.676,-0.03,0.03,0.33,0.33
3.686,-0.03,0.03,0.12,0.12
3.696,-0.02,0.01,-0.21,0.21
3.706,-0.02,0.02,-0.23,0.24
3.716,-0.03,0.04,0.06,0.08
3.726,-0.04,0.04,0.25,0.26
3.736,-0.02,0.03,0.03,0.04
3.746,-0.02,0.01,-0.2,0.2
3.756,-0.03,0.02,-0.15,0.15
3.766,-0.03,0.03,0.09,0.1
3.776,-0.03,0.03,0.17,0.18
3.786,-0.02,0.02,-0.02,0.04
3.795,-0.03,0.01,-0.19,0.19
3.806,-0.03,0.03,-0.08,0.09
3.815,-0.03,0.03,0.13,0.14
3.825,-0.02,0.03,0.13,0.13
3.835,-0.02,0.02,-0.07,0.07
3.845,-0.02,0.02,-0.17,0.17
3.856,0.07,0.07,-0.05,0.11
3.865,0.13,0.66,-1.02,1.22
3.875,-1.34,-1.95,0.19,2.37
3.885,0.48,-0.85,0.94,1.35
3.895,0.72,2.41,1.64,3
3.905,0.04,0.92,-0.74,1.18
3.915,-0.29,-0.99,-1.77,2.05
3.925,-0.08,-0.19,-0.52,0.56
3.935,0,0.23,1.14,1.16
3.945,-0.02,0.06,1.33,1.33
3.955,-0.01,0.03,0,0.03
3.965,-0.05,-0.03,-1.25,1.25
3.975,-0.04,-0.01,-0.56,0.56
3.985,-0.05,0.06,0.46,0.46
3.995,-0.03,0.07,0.88,0.88
4.003,-0.01,0.03,0.06,0.07
4.013,-0.03,-0.01,-0.66,0.66
4.023,-0.05,0.01,-0.49,0.49
4.033,-0.04,0.06,0.27,0.28
4.043,0.08,0.03,0.46,0.47
4.053,0,0.04,-0.03,0.05
4.063,-0.07,0,-0.43,0.43
4.073,-0.03,0.01,-0.24,0.24
4.083,-0.04,0.04,0.26,0.26
4.093,-0.03,0.04,0.31,0.32
4.103,-0.02,0.03,-0.09,0.1
4.113,-0.03,0.01,-0.29,0.29
4.123,-0.03,0.03,-0.12,0.13
4.133,-0.03,0.04,0.23,0.23
4.143,-0.03,0.04,0.17,0.18
4.153,-0.03,0.02,-0.12,0.12
4.163,-0.02,0.02,-0.23,0.23
4.173,-0.02,0.03,-0.03,0.05
4.183,-0.03,0.04,0.2,0.21
4.193,-0.02,0.04,0.11,0.11
4.203,-0.02,0.02,-0.15,0.15
4.212,-0.02,0.02,-0.19,0.19
4.222,-0.02,0.03,0.03,0.04
4.232,-0.02,0.03,0.19,0.19
4.242,-0.02,0.03,0.03,0.05
4.252,0.05,0.05,-0.2,0.21
4.262,-0.33,-0.11,-1.07,1.13
4.272,-2.12,-1.76,0.21,2.76
4.282,0.48,-0.44,0.45,0.79
4.292,2.1,2.18,1.74,3.49
4.302,0.56,1.43,-0.68,1.68
4.312,-0.8,-1.07,-1.46,1.98
4.322,-0.23,-0.35,-0.46,0.62
4.332,0.19,0.42,1.12,1.22
4.342,-0.07,-0.01,1.12,1.12
4.352,-0.01,0.01,-0.12,0.12
4.364,-0.04,-0.03,-1.11,1.12
4.374,-0.03,0,-0.46,0.46
4.384,-0.04,0.05,0.49,0.5
4.394,-0.04,0.06,0.77,0.77
4.404,-0.03,0.03,-0.02,0.04
4.414,-0.02,-0.01,-0.64,0.64
4.424,-0.03,0,-0.41,0.41
4.434,0.03,0.07,0.22,0.23
4.444,-0.04,0.04,0.4,0.4
4.454,-0.02,0.02,-0.02,0.04
4.464,-0.02,0.01,-0.32,0.32
4.474,-0.03,0.02,-0.19,0.19
4.484,-0.02,0.04,0.19,0.2
4.494,-0.02,0.04,0.23,0.23
4.504,-0.02,0.02,-0.06,0.07
4.514,-0.02,0.02,-0.23,0.23
4.524,-0.02,0.02,-0.09,0.09
4.534,-0.02,0.03,0.18,0.18
4.544,-0.02,0.04,0.12,0.13
4.554,-0.02,0.03,-0.09,0.1
4.564,-0.02,0.02,-0.18,0.18
4.574,-0.02,0.02,-0.02,0.04
4.584,-0.01,0.03,0.14,0.14
4.593,-0.02,0.03,0.06,0.07
4.603,-0.03,0.02,-0.1,0.11
4.613,-0.03,0.02,-0.12,0.13
4.624,-0.02,0.03,0.04,0.05
4.633,-0.02,0.03,0.12,0.12
4.643,-0.02,0.03,0,0.03
4.653,-0.01,0.03,-0.12,0.13
